檢驗站站號,檢驗站站名,檢驗站地址,檢驗站市話
L95,松承機車行,臺中市大甲區西岐里順帆路92之2號1樓,(04)26812254
L96,豐盛機車行,臺中市大甲區薰風里順天路30號,(04)26875957
L97,上弘機車行,臺中市大甲區日南里黎明路3之1號,(04)26820888
L98,佳和輪業有限公司,臺中市大甲區庄美里興安路54-1號,(04)26866153
L99,吉昌機車行,臺中市大甲區平安里信義路105號,(04)26873190
LA0,欣昌機車行,臺中市大安區中庄里中山南路458號1樓,(04)26712353
LA1,永任機車行,臺中市大肚區王田里沙田路一段77號1樓,(04)26933568
LA4,修平車業有限公司,臺中市大里區仁化里仁化路516號1樓,(04)24914290
LA5,?發機車行,臺中市大里區內新里中興路二段554號,(04)24860171
LA6,泰興車行,臺中市大里區祥興里中興路二段866號,(04)24866789
LA7,大暉輪業有限公司,臺中市大里區仁化里仁化路392號,(04)24919956
LA8,太山輪業商行,臺中市大里區東里路18號1樓,(04)24061489
LA9,高士車業行,臺中市大里區東興里國光路2段386號1樓,(04)24820061
LB0,昌隆機車行,臺中市大雅區四德里中清路三段838號,(04)25660637
LB1,志昌機車行,臺中市太平區中山里大源2街30號,(04)23927705
LB2,宏威機車行,臺中市太平區坪林里中山路二段67號1樓,(04)23925968
LB3,成龍機車行,臺中市太平區坪林里中山路二段175號,(04)23933028
LB4,信豪機車行,臺中市太平區中山里中山路二段539號1樓,(04)23923923
LB5,永久機車行,臺中市太平區新城里中山路三段180號,(04)23918375
LB6,建利機車行,臺中市太平區中興里太平路628號,(04)22784369
LB7,三和機車行,臺中市太平區中政里中興路89號1樓,(04)22707302
LB8,捍族機車商行,臺中市太平區成功里中興東路348號1樓,(04)22762611
LB9,旭鴻機車行,臺中市太平區永成里太平路241號1樓,(04)22763726
